studio_id,studio_name,anime_id,img,mal_score,your_score,rank,rating,source,start_season,start_year,title,genres
569,MAPPA,48561,https://cdn.myanimelist.net/images/anime/1121/119044.webp,8.42,9,176,r,manga,fall,2021,Jujutsu Kaisen 0 Movie,"Action,School,Shounen,Supernatural"
569,MAPPA,51009,https://cdn.myanimelist.net/images/anime/1792/138022.jpg,8.79,9,35,r,manga,summer,2023,Jujutsu Kaisen 2nd Season,"Action,Gore,School,Shounen,Supernatural"
10,Production I.G,52588,https://cdn.myanimelist.net/images/anime/1370/140362.webp,8.31,9,264,pg_13,manga,spring,2024,Kaijuu 8-gou,"Action,Adult Cast,Military,Sci-Fi,Shounen"
569,MAPPA,34933,https://cdn.myanimelist.net/images/anime/3/86578.webp,7.23,6,3142,r,manga,summer,2017,Kakegurui,"Drama,High Stakes Game,Mystery,Psychological,School,Shounen,Strategy Game,Suspense"
43,ufotable,38000,https://cdn.myanimelist.net/images/anime/1286/99889.webp,8.45,8,163,r,manga,spring,2019,Kimetsu no Yaiba,"Action,Award Winning,Historical,Shounen,Supernatural"
43,ufotable,40456,https://cdn.myanimelist.net/images/anime/1704/106947.jpg,8.57,9,107,r,manga,fall,2020,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Action,Historical,Shounen,Supernatural"
43,ufotable,55701,https://cdn.myanimelist.net/images/anime/1565/142711.jpg,8.14,8,460,r,manga,spring,2024,Kimetsu no Yaiba: Hashira Geiko-hen,"Action,Historical,Shounen,Supernatural"
43,ufotable,51019,https://cdn.myanimelist.net/images/anime/1765/135099.jpg,8.2,8,379,r,manga,spring,2023,Kimetsu no Yaiba: Katanakaji no Sato-hen,"Action,Historical,Shounen,Supernatural"
43,ufotable,47778,https://cdn.myanimelist.net/images/anime/1908/120036.jpg,8.73,9,54,r,manga,winter,2022,Kimetsu no Yaiba: Yuukaku-hen,"Action,Historical,Shounen,Supernatural"
291,CoMix Wave Films,32281,https://cdn.myanimelist.net/images/anime/5/87048.jpg,8.83,8,31,pg_13,original,summer,2016,Kimi no Na wa.,"Award Winning,Drama"
1244,Studio VOLN,36098,https://cdn.myanimelist.net/images/anime/1768/93291.webp,8.55,9,121,pg_13,novel,summer,2018,Kimi no Suizou wo Tabetai,"Drama,Romance,School"
2,Kyoto Animation,28851,https://cdn.myanimelist.net/images/anime/1122/96435.jpg,8.93,9,19,pg_13,manga,summer,2016,Koe no Katachi,"Award Winning,Drama,Shounen"
28,OLM,54492,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,8.89,8,23,pg_13,light_novel,fall,2023,Kusuriya no Hitorigoto,"Drama,Historical,Medical,Mystery"
2705,TOHO animation STUDIO,54492,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,8.89,8,23,pg_13,light_novel,fall,2023,Kusuriya no Hitorigoto,"Drama,Historical,Medical,Mystery"
1993,Studio Bind,51179,https://cdn.myanimelist.net/images/anime/1898/138005.jpg,8.23,8,352,r,light_novel,summer,2023,Mushoku Tensei II: Isekai Ittara Honki Dasu,"Adventure,Drama,Ecchi,Fantasy,Isekai,Reincarnation"
1993,Studio Bind,55818,https://cdn.myanimelist.net/images/anime/1627/136934.webp,7.53,0,1807,r,light_novel,summer,2023,Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,"Adventure,Drama,Ecchi,Fantasy,Isekai,Reincarnation"
1993,Studio Bind,55888,https://cdn.myanimelist.net/images/anime/1876/141251.jpg,8.44,9,169,r,light_novel,spring,2024,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,"Adventure,Drama,Ecchi,Fantasy,Isekai,Reincarnation"
1993,Studio Bind,39535,https://cdn.myanimelist.net/images/anime/1530/117776.jpg,8.36,8,224,r,light_novel,winter,2021,Mushoku Tensei: Isekai Ittara Honki Dasu,"Adventure,Drama,Ecchi,Fantasy,Isekai,Reincarnation"
